settlement_id,settle_date,net_amount,ref_no,gateway_fee
STL-1023,09/07/2026,3161.92,INV1023,0.0
STL-1050,22/07/2026,4011.65,payment for order #50,122.66
STL-1008,02/07/2026,4103.32,INV1008,0.0
STL-1054,15/07/2026,867.72,adjustment,0.0
STL-1017,04/07/2026,1202.76,INV1017,0.0
STL-1004,11/07/2026,739.37,INV1004,0.0
STL-1021,13/07/2026,1063.47,INV1021,0.0
STL-1006,20/07/2026,3664.29,INV1006,0.0
STL-1047,20/07/2026,2020.57,payment for purchase #47,35.83
STL-1048,17/07/2026,2552.16,payment for order #48,43.29
STL-1011,06/07/2026,734.91,INV1011,0.0
STL-1037,09/07/2026,4259.26,inv-1037-pmt,86.92
STL-1045,13/07/2026,306.13,payment for order #45,8.12
STL-1040,20/07/2026,4881.15,inv-1040-pmt,99.62
STL-1014,14/07/2026,885.68,INV1014,0.0
STL-1041,05/07/2026,4765.81,inv-1041-pmt,97.26
STL-1039,17/07/2026,585.63,inv-1039-pmt,11.95
STL-1007,21/07/2026,1335.07,INV1007,0.0
STL-1033,21/07/2026,3724.44,inv-1033-pmt,76.01
STL-1019,06/07/2026,4318.99,INV1019,0.0
STL-1022,22/07/2026,3448.82,INV1022,0.0
STL-1052,12/07/2026,4691.72,payment for purchase #52,139.79
STL-1002,19/07/2026,3760.41,INV1002,0.0
STL-1056,19/07/2026,1334.02,adjustment,0.0
STL-1001,09/07/2026,1591.64,INV1001,0.0
STL-1005,19/07/2026,3128.49,INV1005,0.0
STL-1028,04/07/2026,2184.47,INV1028,0.0
STL-1043,13/07/2026,3833.18,inv-1043-pmt,78.23
STL-1046,25/07/2026,4304.93,payment for order #46,85.51
STL-1015,24/07/2026,2893.59,INV1015,0.0
STL-1038,18/07/2026,1029.9,inv-1038-pmt,21.02
STL-1032,07/07/2026,951.09,inv-1032-pmt,19.41
STL-1042,21/07/2026,3612.66,inv-1042-pmt,73.73
STL-1020,23/07/2026,1605.48,INV1020,0.0
STL-1036,05/07/2026,2639.89,inv-1036-pmt,53.88
STL-1034,18/07/2026,3733.76,inv-1034-pmt,76.2
STL-1051,11/07/2026,3300.55,payment for purchase #51,99.28
STL-1053,21/07/2026,2054.08,adjustment,0.0
STL-1044,09/07/2026,1644.88,inv-1044-pmt,33.57
STL-1012,22/07/2026,4282.22,INV1012,0.0
STL-1009,13/07/2026,3580.26,INV1009,0.0
STL-1055,11/07/2026,397.86,adjustment,0.0
STL-1035,10/07/2026,2132.66,inv-1035-pmt,43.52
STL-1027,04/07/2026,1375.53,INV1027,0.0
STL-1018,11/07/2026,3406.94,INV1018,0.0
STL-1029,22/07/2026,4590.74,INV1029,0.0
STL-1016,15/07/2026,4460.62,INV1016,0.0
STL-1049,06/07/2026,555.16,payment for purchase #49,16.09
STL-1000,04/07/2026,3304.31,INV1000,0.0
STL-1024,08/07/2026,3725.9,INV1024,0.0
STL-1057,21/07/2026,575.71,adjustment,0.0
STL-1003,03/07/2026,3074.31,INV1003,0.0
STL-1025,24/07/2026,2082.44,INV1025,0.0
STL-1013,18/07/2026,4092.5,INV1013,0.0
STL-1030,24/07/2026,1742.43,inv-1030-pmt,35.56
STL-1031,24/07/2026,2115.3,inv-1031-pmt,43.17
STL-1026,12/07/2026,2916.66,INV1026,0.0
STL-1010,12/07/2026,1029.75,INV1010,0.0
