order_id,order_date,amount,reference,customer
ORD-1045,2026-07-09,314.25,INV1045,cust1045
ORD-1047,2026-07-17,2056.4,INV1047,cust1047
ORD-1040,2026-07-17,4980.77,INV1040,cust1040
ORD-1016,2026-07-12,4460.62,INV1016,cust1016
ORD-1046,2026-07-21,4390.44,INV1046,cust1046
ORD-1005,2026-07-18,3128.49,INV1005,cust1005
ORD-1000,2026-07-01,3304.31,INV1000,cust1000
ORD-1009,2026-07-11,3580.26,INV1009,cust1009
ORD-1011,2026-07-04,734.91,INV1011,cust1011
ORD-1048,2026-07-12,2595.45,INV1048,cust1048
ORD-1025,2026-07-21,2082.44,INV1025,cust1025
ORD-1019,2026-07-04,4318.99,INV1019,cust1019
ORD-1041,2026-07-01,4863.07,INV1041,cust1041
ORD-1056,2026-07-19,2902.43,INV1056,cust1056
ORD-1050,2026-07-18,4134.31,INV1050,cust1050
ORD-1053,2026-07-21,4976.2,INV1053,cust1053
ORD-1014,2026-07-13,885.68,INV1014,cust1014
ORD-1018,2026-07-10,3406.94,INV1018,cust1018
ORD-1043,2026-07-11,3911.41,INV1043,cust1043
ORD-1007,2026-07-19,1335.07,INV1007,cust1007
ORD-1024,2026-07-06,3725.9,INV1024,cust1024
ORD-1010,2026-07-11,1029.75,INV1010,cust1010
ORD-1038,2026-07-14,1050.92,INV1038,cust1038
ORD-1028,2026-07-03,2184.47,INV1028,cust1028
ORD-1003,2026-07-02,3074.31,INV1003,cust1003
ORD-1052,2026-07-07,4831.51,INV1052,cust1052
ORD-1020,2026-07-21,1605.48,INV1020,cust1020
ORD-1054,2026-07-15,4527.19,INV1054,cust1054
ORD-1001,2026-07-08,1591.64,INV1001,cust1001
ORD-1023,2026-07-06,3161.92,INV1023,cust1023
ORD-1033,2026-07-18,3800.45,INV1033,cust1033
ORD-1029,2026-07-19,4590.74,INV1029,cust1029
ORD-1039,2026-07-13,597.58,INV1039,cust1039
ORD-1035,2026-07-08,2176.18,INV1035,cust1035
ORD-1022,2026-07-21,3448.82,INV1022,cust1022
ORD-1027,2026-07-02,1375.53,INV1027,cust1027
ORD-1037,2026-07-05,4346.18,INV1037,cust1037
ORD-1006,2026-07-18,3664.29,INV1006,cust1006
ORD-1012,2026-07-20,4282.22,INV1012,cust1012
ORD-1026,2026-07-11,2916.66,INV1026,cust1026
ORD-1049,2026-07-03,571.25,INV1049,cust1049
ORD-1051,2026-07-06,3399.83,INV1051,cust1051
ORD-1030,2026-07-21,1777.99,INV1030,cust1030
ORD-1044,2026-07-06,1678.45,INV1044,cust1044
ORD-1036,2026-07-03,2693.77,INV1036,cust1036
ORD-1008,2026-07-01,4103.32,INV1008,cust1008
ORD-1034,2026-07-14,3809.96,INV1034,cust1034
ORD-1013,2026-07-15,4092.5,INV1013,cust1013
ORD-1031,2026-07-21,2158.47,INV1031,cust1031
ORD-1042,2026-07-18,3686.39,INV1042,cust1042
ORD-1017,2026-07-03,1202.76,INV1017,cust1017
ORD-1015,2026-07-21,2893.59,INV1015,cust1015
ORD-1032,2026-07-05,970.5,INV1032,cust1032
ORD-1057,2026-07-21,632.67,INV1057,cust1057
ORD-1021,2026-07-12,1063.47,INV1021,cust1021
ORD-1055,2026-07-11,1355.08,INV1055,cust1055
ORD-1002,2026-07-18,3760.41,INV1002,cust1002
ORD-1004,2026-07-08,739.37,INV1004,cust1004
